AQSID,STATE_NAME,COUNTY_NAME,PARAMETER_NAME,DATETIME_LOCAL,LATITUDE,LONGITUDE,UNITS_OF_MEASURE,AQI,CITY_NAME
AQ001363,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/04/17 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001364,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/04/20 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001365,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/04/23 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001366,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/04/26 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001367,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/04/29 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001368,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/05/02 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001369,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/05/05 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001370,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/05/08 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001371,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/05/11 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001372,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/05/14 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001373,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/05/17 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001374,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/05/20 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001375,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/05/23 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001376,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/05/26 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001377,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/05/29 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001378,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/06/01 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001379,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/06/04 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001380,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/06/07 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001381,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/06/10 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001382,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/06/13 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001383,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/06/16 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001384,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/06/19 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001385,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/06/22 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001386,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/06/25 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001387,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/06/28 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001388,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/07/01 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001389,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/07/04 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
